DateTime,EpisodeId,ReactionTime,TimeOnTask,JoystickAxisX,JoystickAxisY,DragValue,PlatformAngleSourceX,PlatformAngleSourceY,PlatformAngleSourceZ,BallVelocitySourceX,BallVelocitySourceY,BallVelocitySourceZ,BallPositionSourceX,BallPositionSourceY,BallPositionSourceZ,BallVelocityTargetX,BallVelocityTargetY,BallVelocityTargetZ,BallPositionTargetX,BallPositionTargetY,BallPositionTargetZ
03.05.2023 16:21:29,4,115.7116,457.2113,0,0,0.05,0,0,0,-0.7326915,0.228248954,0.013851715,-0.580234051,1.78718114,0.5112715,-0.7756783,-4.77E-06,-0.012129559,-0.051419258,1.5,0.061643124
03.05.2023 16:21:29,4,215.8692,1533.9312,-0.8982781,0.07938272,0.05,0,0,0,0.09896501,-0.9840501,-0.24681209,-0.929059,1.93435931,-0.4038968,-0.7069665,0,-0.001570988,-1.68014812,1.5,0.51148653
03.05.2023 16:21:29,4,521.6487,780.3675,0,0,0.05,0,0,0,-0.7509174,0.1723715,0.009414,-2.23805046,2.04960346,0.510514736,0.100800224,0,-0.252019018,-0.850305557,1.5,-0.6003084
03.05.2023 16:21:29,5,713.7581,4554.1119,0.114541255,-0.04538429,0.05,0,0,0,-0.3413971,0.013344407,0.012060212,-0.5478244,1.52594531,0.110366821,-1.11436856,-4.30899239,0.043362986,-5.66528845,0.407738656,0.527911663
03.05.2023 16:21:29,5,116.9826,842.1938,0.02392018,-0.358802,0.04,0,0,0,-0.7775087,-0.08656049,0.016103465,0.932004,1.69599092,1.45692539,0.4393935,0,-0.463148266,0.7496848,1.49999893,1.26004553
03.05.2023 16:21:29,5,30.5192,2104.8362,0.989308953,-0.145834446,0.04,0,0,0,-0.565179646,-0.695725441,-0.801350653,0.7398133,1.64367449,-0.08860111,-0.736954,-2.38E-06,0.020382434,-0.6458678,1.50000012,1.49756908
03.05.2023 16:21:29,5,213.998,414.0943,0,0,0.04,0,0,0,-0.298889846,-0.896588,0.03222662,-0.812196255,1.71974206,1.50991535,-0.560988963,0,-0.7931832,0.5030589,1.5,-0.423428535
03.05.2023 16:21:29,5,34.2972,4548.4472,-0.953189552,0.28383866,0.04,0,0,0,0.241416931,-0.311841279,-0.6283015,-0.19382143,1.545928,-1.484251,-0.265501738,0,0.01583899,-2.104425,1.5,1.59319592
03.05.2023 16:21:29,5,130.5332,1496.0861,0,0,0.04,0,0,0,0.329493761,-2.87875032,-0.334334135,-2.26501131,2.09897447,1.34965277,0.237956479,0,-0.602142036,0.1698618,1.5,-2.40705967
03.05.2023 16:21:29,5,42.0616,628.5684,0,0,0.04,0,0,0,-0.253340721,0.003219217,-0.4892136,0.095517635,2.07962227,-2.7186904,0.325754166,0,-0.349654347,-2.0616436,1.5,1.13455057
03.05.2023 16:21:29,5,313.7025,3039.365,0,0,0.04,0,0,0,0.436334282,-0.003600612,-0.219293535,-0.31099844,1.50278687,0.128340721,-0.228497684,0,-0.445300072,-0.6326909,1.5,-4.13283873
03.05.2023 16:21:29,6,715.3837,2357.5653,0,0,0.04,0,0,0,-0.7849767,-8.865386,-1.75757289,-2.228386,-1.69587517,-6.088934,0.4072931,0,-0.202913478,0.6739664,1.5,-0.364033222
